results_address,competitor_address
"622 S Federal Highway, Deerfield Beach, FL 33441","1299 S Military Trail, Deerfield Beach, FL 33442"
"622 S Federal Highway, Deerfield Beach, FL 33441","953 S Federal Highway, Deerfield Beach, FL 33441"
"622 S Federal Highway, Deerfield Beach, FL 33441","877 E Palmetto Park Road, Boca Raton, FL 33432"
"622 S Federal Highway, Deerfield Beach, FL 33441","697 S Federal Highway, Deerfield Beach, FL 33441"
"622 S Federal Highway, Deerfield Beach, FL 33441","458 W Hillsboro Boulevard, Deerfield Beach, FL 33441"
"622 S Federal Highway, Deerfield Beach, FL 33441","1101 S Powerline Road, Deerfield Beach, FL 33442"
"9637 US Hwy 98, Miramar Beach, FL 32550","11610 Emerald Coast Parkway, Miramar Beach, FL 32550"
"2620 S US Hwy 1, Fort Pierce, FL 34982","3218 US Hwy 1, Fort Pierce, FL 34982"
"2620 S US Hwy 1, Fort Pierce, FL 34982","1001 S US Hwy 1, Fort Pierce, FL 34950"
"2620 S US Hwy 1, Fort Pierce, FL 34982","1006 S US Hwy 1, Fort Pierce, FL 34950"
"2620 S US Hwy 1, Fort Pierce, FL 34982","5001 S US Hwy 1, Fort Pierce, FL 34982"
"2620 S US Hwy 1, Fort Pierce, FL 34982","1495 S US Hwy 1, Fort Pierce, FL 34950"
"9611 N Kendall Drive, Miami, FL 33176","8898 SW 144th Terrace, Palmetto Bay, FL 33158"
"9611 N Kendall Drive, Miami, FL 33176","6827 SW 40th Street, Miami, FL 33155"
"9611 N Kendall Drive, Miami, FL 33176","12079 SW 117th Avenue, Miami, FL 33186"
"9611 N Kendall Drive, Miami, FL 33176","8303 SW 40th Street, Miami, FL 33155"
"9611 N Kendall Drive, Miami, FL 33176","12125 SW 152nd Street, Miami, FL 33177"
"9611 N Kendall Drive, Miami, FL 33176","9002 S Dadeland Boulevard, Kendall, FL 33156"
"9611 N Kendall Drive, Miami, FL 33176","5827 SW 40th Street, Miami, FL 33155"
"9611 N Kendall Drive, Miami, FL 33176","11561 N Kendall Drive, Miami, FL 33173"
"9611 N Kendall Drive, Miami, FL 33176","9711 SW 77th Avenue, Miami, FL 33156"
"9611 N Kendall Drive, Miami, FL 33176","8345 SW 124th Street, Miami, FL 33156"
"9611 N Kendall Drive, Miami, FL 33176","8717 SW 24th Street, Miami, FL 33165"
"9611 N Kendall Drive, Miami, FL 33176","10755 SW 72nd St, Miami, FL 33173"
"9611 N Kendall Drive, Miami, FL 33176","6647 S Dixie Highway, Miami, FL 33143"
"9611 N Kendall Drive, Miami, FL 33176","9578 Bird Road, Olympia Heights, FL 33165"
"9611 N Kendall Drive, Miami, FL 33176","9600 SW 77th Avenue, Miami, FL 33156"
"9611 N Kendall Drive, Miami, FL 33176","5850 Sunset Drive, South Miami, FL 33143"
"5827 SW 40th Street, Miami, FL 33155","6827 SW 40th Street, Miami, FL 33155"
"5827 SW 40th Street, Miami, FL 33155","8303 SW 40th Street, Miami, FL 33155"
"5827 SW 40th Street, Miami, FL 33155","9002 S Dadeland Boulevard, Kendall, FL 33156"
"5827 SW 40th Street, Miami, FL 33155","9611 N Kendall Drive, Miami, FL 33176"
"5827 SW 40th Street, Miami, FL 33155","9711 SW 77th Avenue, Miami, FL 33156"
"5827 SW 40th Street, Miami, FL 33155","8717 SW 24th Street, Miami, FL 33165"
"5827 SW 40th Street, Miami, FL 33155","6647 S Dixie Highway, Miami, FL 33143"
"5827 SW 40th Street, Miami, FL 33155","9578 Bird Road, Olympia Heights, FL 33165"
"5827 SW 40th Street, Miami, FL 33155","9600 SW 77th Avenue, Miami, FL 33156"
"5827 SW 40th Street, Miami, FL 33155","4020 NW 26th Street, Miami, FL 33142"
"5827 SW 40th Street, Miami, FL 33155","5850 Sunset Drive, South Miami, FL 33143"
"1406 N University Drive, Coral Springs, FL 33701","6899 N University Drive, Tamarac, FL 33321"
"1406 N University Drive, Coral Springs, FL 33701","6580 N University Drive, Tamarac, FL 33319"
"1406 N University Drive, Coral Springs, FL 33701","10400 W Atlantic Boulevard, Coral Springs, FL 33071"
"1406 N University Drive, Coral Springs, FL 33701","5900 Rock Island Road, Tamarac, FL 33319"
"10607 E Colonial Drive, Orlando, FL 32817","7390 Aloma Avenue, Winter Park, FL 32792"
"10607 E Colonial Drive, Orlando, FL 32817","4650 N Alafaya Trail, Orlando, FL 32826"
"10607 E Colonial Drive, Orlando, FL 32817","10615 E Colonial Drive, Orlando, FL 32803"
"10607 E Colonial Drive, Orlando, FL 32817","11311 University Boulevard, Orlando, FL 32817"
"10607 E Colonial Drive, Orlando, FL 32817","775 N Semoran Boulevard, Orlando, FL 32807"
"10607 E Colonial Drive, Orlando, FL 32817","4301 Alafaya Trail, Oviedo, FL 32765"
"10607 E Colonial Drive, Orlando, FL 32817","7500 E Colonial Drive, Orlando, FL 32807"
"10607 E Colonial Drive, Orlando, FL 32817","11401 University Boulevard, Orlando, FL 32817"
"10607 E Colonial Drive, Orlando, FL 32817","11247 E Colonial Drive, Orlando, FL 32817"
"10607 E Colonial Drive, Orlando, FL 32817","11551 University Boulevard, Orlando, FL 32817"
"10607 E Colonial Drive, Orlando, FL 32817","591 S Semoran Boulevard, Winter Park, FL 32792"
"10607 E Colonial Drive, Orlando, FL 32817","3050 Alafaya Trail, Oviedo, FL 32765"
"10607 E Colonial Drive, Orlando, FL 32817","11291 E Colonial Drive, Orlando, FL 32817"
"10607 E Colonial Drive, Orlando, FL 32817","1700 N Semoran Boulevard, Orlando, FL 32807"
"3611 US Hwy 98, Panama City, FL 32401","809 Harrison Avenue, Panama City, FL 32401"
"3611 US Hwy 98, Panama City, FL 32401","749 W 23rd Street, Panama City, FL 32405"
"3611 US Hwy 98, Panama City, FL 32401","917 Harrison Avenue, Panama City, FL 32401"
"3611 US Hwy 98, Panama City, FL 32401","7915 Panama City Beach Parkway, Panama City Beach, FL 32407"
"3611 US Hwy 98, Panama City, FL 32401","411 E 23rd Street, Panama City, FL 32405"
"4825 US Hwy 98 N, Lakeland, FL 33809","3145 US Hwy 98 N, Lakeland, FL 33805"
"4825 US Hwy 98 N, Lakeland, FL 33809","3004 US Hwy 98 N, Lakeland, FL 33805"
"4825 US Hwy 98 N, Lakeland, FL 33809","224 N Florida Avenue, Lakeland, FL 33801"
"4825 US Hwy 98 N, Lakeland, FL 33809","1644 N Florida Avenue, Lakeland, FL 33805"
"4825 US Hwy 98 N, Lakeland, FL 33809","4000 Hwy 98 N, Lakeland, FL 33809"
"9510 Atlantic Boulevard, Jacksonville, FL 32225","4332 University Boulevard S, Jacksonville, FL 32216"
"9510 Atlantic Boulevard, Jacksonville, FL 32225","10051 Skinner Lake Drive, Jacksonville, FL 32246"
"9510 Atlantic Boulevard, Jacksonville, FL 32225","11450 Beach Boulevard, Jacksonville, FL 32246"
"9510 Atlantic Boulevard, Jacksonville, FL 32225","10095 Beach Boulevard, Jacksonville, FL 32246"
"9510 Atlantic Boulevard, Jacksonville, FL 32225","6259 Beach Boulevard, Jacksonville, FL 32216"
"606 S Dale Mabry Highway, Tampa, FL 33609","5502 S Dale Mabry Highway, Tampa, FL 33611"
"606 S Dale Mabry Highway, Tampa, FL 33609","3642 W Kennedy Boulevard, Tampa, FL 33609"
"606 S Dale Mabry Highway, Tampa, FL 33609","2814 W Martin Luther King Jr. Boulevard, Tampa, FL 33607"
"606 S Dale Mabry Highway, Tampa, FL 33609","612 N Dale Mabry Highway, Tampa, FL 33609"
"606 S Dale Mabry Highway, Tampa, FL 33609","3630 W Gandy Boulevard, Tampa, FL 33611"
"606 S Dale Mabry Highway, Tampa, FL 33609","5115 S Dale Mabry Highway, Tampa, FL 33611"
"606 S Dale Mabry Highway, Tampa, FL 33609","4820 S Himes Avenue, Tampa, FL 33611"
"606 S Dale Mabry Highway, Tampa, FL 33609","2617 W Kennedy Boulevard, Tampa, FL 33609"
"606 S Dale Mabry Highway, Tampa, FL 33609","1902 N Dale Mabry Highway, Tampa, FL 33607"
"606 S Dale Mabry Highway, Tampa, FL 33609","4306 S Dale Mabry Highway, Tampa, FL 33611"
"606 S Dale Mabry Highway, Tampa, FL 33609","3126 W Gandy Boulevard, Tampa, FL 33611"
"606 S Dale Mabry Highway, Tampa, FL 33609","4410 W Hillsborough Ave, Tampa, FL 33614"
"606 S Dale Mabry Highway, Tampa, FL 33609","17631 Bruce B Down Boulevard, Tampa, FL 33647"
"606 S Dale Mabry Highway, Tampa, FL 33609","2007 W Kennedy Boulevard, Tampa, FL 33606"
"103 SW 3rd Place, Cape Coral, FL 33991","2126 Del Prado Boulevard S, Cape Coral, FL 32216"
"103 SW 3rd Place, Cape Coral, FL 33991","2323 Del Prado Boulevard, Cape Coral, FL 33990"
"103 SW 3rd Place, Cape Coral, FL 33991","2612 Santa Barbara Boulevard, Cape Coral, FL 33914"
"103 SW 3rd Place, Cape Coral, FL 33991","1897 S Del Prado Boulevard, Cape Coral, FL 33990"
"103 SW 3rd Place, Cape Coral, FL 33991","2517 Santa Barbara Boulevard, Cape Coral, FL 33914"
"5138 Deer Park Drive, New Port Richey, FL 34653","9304 US Hwy 19 N, Port Richey, FL 34668"
"5138 Deer Park Drive, New Port Richey, FL 34653","4218 US Hwy 19, New Port Richey, FL 34652"
"5138 Deer Park Drive, New Port Richey, FL 34653","5422 US Hwy 19, Port Richey, FL 34652"
"5611 Six Mile Commercial Court, Fort Myers, FL 33912","8951 Daniels Parkway, Fort Myers, FL 33912"
"5611 Six Mile Commercial Court, Fort Myers, FL 33912","4480 Fowler Street, Fort Myers, FL 33901"
"5611 Six Mile Commercial Court, Fort Myers, FL 33912","7010 Cypress Terrace, Fort Myers, FL 33907"
"5611 Six Mile Commercial Court, Fort Myers, FL 33912","12720 McGregor Boulevard, Fort Myers, FL 33919"
"5611 Six Mile Commercial Court, Fort Myers, FL 33912","15620 Summerlin Road, Fort Myers, FL 33908"
"5611 Six Mile Commercial Court, Fort Myers, FL 33912","12575 S Cleveland Ave, Fort Myers, FL 33907"
"11245 SW 211th St, Miami, FL  33189, United States","12125 SW 152nd Street, Miami, FL 33177"
"11245 SW 211th St, Miami, FL  33189, United States","19300 S Dixie Highway, Cutler Bay, FL 33157"
"6340 N Wickham Road, Melbourne, FL 32940","21 Suntree Place, Melbourne, FL 32803"
"487 State Road 436, Casselberry, FL 32707","7390 Aloma Avenue, Winter Park, FL 32792"
"487 State Road 436, Casselberry, FL 32707","750 S US Hwy 17-92, Longwood, FL 32750"
"487 State Road 436, Casselberry, FL 32707","1415 W State Road 434, Longwood, FL 32750"
"487 State Road 436, Casselberry, FL 32707","800 Lee Road, Orlando, FL 32810"
"487 State Road 436, Casselberry, FL 32707","1315 Tuskawilla Road, Winter Springs, FL 32708"
"487 State Road 436, Casselberry, FL 32707","1090 W State Road 434, Longwood, FL 32750"
"487 State Road 436, Casselberry, FL 32707","591 S Semoran Boulevard, Winter Park, FL 32792"
"487 State Road 436, Casselberry, FL 32707","134 Fernwood Boulevard, Fern Park, FL 32730"
"487 State Road 436, Casselberry, FL 32707","8640 Aloma Avenue, Winter Park, FL 32792"
"487 State Road 436, Casselberry, FL 32707","820 W State Road 434, Longwood, FL 32750"
"487 State Road 436, Casselberry, FL 32707","182 W State Road 434, Longwood, FL 32750"
"921 S Missouri Avenue, Clearwater, FL 33756","314 S Belcher Road, Clearwater, FL 33765"
"921 S Missouri Avenue, Clearwater, FL 33756","10289 Ulmerton Road, Largo, FL 33771"
"921 S Missouri Avenue, Clearwater, FL 33756","2082 Gulf to Bay Boulevard, Clearwater, FL 33765"
"921 S Missouri Avenue, Clearwater, FL 33756","4465 E Bay Drive, Largo, FL 33746"
"921 S Missouri Avenue, Clearwater, FL 33756","2650 E Bay Drive, Largo, FL 33771"
"921 S Missouri Avenue, Clearwater, FL 33756","29901 US Hwy 19 N, Clearwater, FL 33761"
"921 S Missouri Avenue, Clearwater, FL 33756","1352 Main Street, Dunedin, FL 34698"
"921 S Missouri Avenue, Clearwater, FL 33756","19042 US Hwy 19 N, Clearwater, FL 33764"
"921 S Missouri Avenue, Clearwater, FL 33756","10761 Ulmerton Road, Largo, FL 33771"
"921 S Missouri Avenue, Clearwater, FL 33756","1201 N Highland Avenue, Clearwater, FL 33755"
"921 S Missouri Avenue, Clearwater, FL 33756","1846 Main Street, Dunedin, FL 34698"
"921 S Missouri Avenue, Clearwater, FL 33756","2794 Gulf to Bay Boulevard, Clearwater, FL 33759"
"921 S Missouri Avenue, Clearwater, FL 33756","2076 Seminole Boulevard, Largo, FL 33778"
"921 S Missouri Avenue, Clearwater, FL 33756","645 Bayway Boulevard, Clearwater, FL 33767"
"921 S Missouri Avenue, Clearwater, FL 33756","24639 US Hwy 19 N, Clearwater, FL 33763"
"921 S Missouri Avenue, Clearwater, FL 33756","12955 Seminole Boulevard, Largo, FL 33778"
"175 NW 167th Street, North Miami Beach, FL 33169","10755 Biscayne Boulevard, Miami, FL 33161"
"175 NW 167th Street, North Miami Beach, FL 33169","2900 Country Club Lane, Pembroke Park, FL 33009"
"175 NW 167th Street, North Miami Beach, FL 33169","16685 NW 2nd Avenue, North Miami, FL 33169"
"175 NW 167th Street, North Miami Beach, FL 33169","12605 Biscayne Boulevard, North Miami, FL 33181"
"175 NW 167th Street, North Miami Beach, FL 33169","13400 Biscayne Boulevard, North Miami, FL 33181"
"175 NW 167th Street, North Miami Beach, FL 33169","3495 NE 163rd Street, North Miami Beach, FL 33160"
"175 NW 167th Street, North Miami Beach, FL 33169","505 NE 125th Street, North Miami, FL 33161"
"175 NW 167th Street, North Miami Beach, FL 33169","11900 Biscayne Boulevard, Miami, FL 33181"
"175 NW 167th Street, North Miami Beach, FL 33169","15100 Biscayne Boulevard, North Miami Beach, FL 33160"
"175 NW 167th Street, North Miami Beach, FL 33169","18350 NW 47th Avenue, Miami, FL 33055"
"175 NW 167th Street, North Miami Beach, FL 33169","11099 Biscayne Boulevard, Miami, FL 33161"
"601 34th Street N, St. Petersburg, FL 33713","6769 US Hwy 19 N, Pinellas Park, FL 33781"
"601 34th Street N, St. Petersburg, FL 33713","513 Martin Luther King Jr. Street N, St. Petersburg, FL 33701"
"601 34th Street N, St. Petersburg, FL 33713","5935 4th Street N, St. Petersburg, FL 33703"
"601 34th Street N, St. Petersburg, FL 33713","3811 Tyrone Boulevard, St. Petersburg, FL 33709"
"601 34th Street N, St. Petersburg, FL 33713","1271 Pasadena Avenue S, South Pasadena, FL 33707"
"601 34th Street N, St. Petersburg, FL 33713","6999 US Hwy 19, Pinellas Park, FL 33781"
"601 34th Street N, St. Petersburg, FL 33713","2832 4th Street N, St. Petersburg, FL 33704"
"601 34th Street N, St. Petersburg, FL 33713","1101 1st Avenue N, St. Petersburg, FL 33705"
"601 34th Street N, St. Petersburg, FL 33713","3790 Tyrone Boulevard N, St. Petersburg, FL 33710"
"601 34th Street N, St. Petersburg, FL 33713","326 5th Avenue N, St. Petersburg, FL 33701"
"601 34th Street N, St. Petersburg, FL 33713","150 22nd Street, St. Petersburg, FL 33712"
"601 34th Street N, St. Petersburg, FL 33713","2001 4th Street N, St. Petersburg, FL 33704"
"601 34th Street N, St. Petersburg, FL 33713","6752 22nd Avenue N, St. Petersburg, FL 33710"
"1901 N Orange Avenue, Orlando, FL 32804","6325 N Orange Blossom Trail, Orlando, FL 32810"
"1901 N Orange Avenue, Orlando, FL 32804","1345 Lee Road, Orlando, FL 32810"
"1901 N Orange Avenue, Orlando, FL 32804","775 N Semoran Boulevard, Orlando, FL 32807"
"1901 N Orange Avenue, Orlando, FL 32804","800 Lee Road, Orlando, FL 32810"
"1901 N Orange Avenue, Orlando, FL 32804","8103 Vineland Parkway, Orlando, FL 32821"
"1901 N Orange Avenue, Orlando, FL 32804","101 S Garland Avenue, Orlando, FL 32801"
"1901 N Orange Avenue, Orlando, FL 32804","591 S Semoran Boulevard, Winter Park, FL 32792"
"1901 N Orange Avenue, Orlando, FL 32804","2820 E Colonial Drive, Orlando, FL 32803"
"1901 N Orange Avenue, Orlando, FL 32804","1743 S Orange Avenue, Orlando, FL 32806"
"1901 N Orange Avenue, Orlando, FL 32804","8640 Aloma Avenue, Winter Park, FL 32792"
"1901 N Orange Avenue, Orlando, FL 32804","4544 N Orange Blossom Trail, Orlando, FL 32804"
"1901 N Orange Avenue, Orlando, FL 32804","2560 FL-50, Orlando, FL 34711"
"1901 N Orange Avenue, Orlando, FL 32804","1700 N Semoran Boulevard, Orlando, FL 32807"
"1 S Dixie Highway, Lake Worth, FL 33460","7118 S Military Trail, Lake Worth, FL 33463"
"1 S Dixie Highway, Lake Worth, FL 33460","1125 N Dixie Highway, Lake Worth, FL 33460"
"1 S Dixie Highway, Lake Worth, FL 33460","770 S Military Trail, West Palm Beach, FL 33415"
"3400 SW 34th Street, Gainesville, FL 32608","12 SW 2nd Street, Gainesville, FL 32601"
"3400 SW 34th Street, Gainesville, FL 32608","318 NW 13th Street, Gainesville, FL 32601"
"3400 SW 34th Street, Gainesville, FL 32608","626 NW 13th Street, Gainesville, FL 32601"
"3400 SW 34th Street, Gainesville, FL 32608","2300 SW 34th Street, Gainesville, FL 32607"
"3400 SW 34th Street, Gainesville, FL 32608","4880 Newberry Road, Gainesville, FL 32607"
"3400 SW 34th Street, Gainesville, FL 32608","2020 SW 34th Street, Gainesville, FL 32608"
"3400 SW 34th Street, Gainesville, FL 32608","1310 NW 23rd Avenue, Gainesville, FL 32605"
"3400 SW 34th Street, Gainesville, FL 32608","15 SW 1st Avenue, Gainesville, FL 32601"
"3400 SW 34th Street, Gainesville, FL 32608","1614 W University Avenue, Gainesville, FL 32603"
"3400 SW 34th Street, Gainesville, FL 32608","3833 Archer Road, Gainesville, FL 32608"
"3400 SW 34th Street, Gainesville, FL 32608","1527 NW 6th Street, Gainesville, FL 32601"
"3400 SW 34th Street, Gainesville, FL 32608","3607 SW Archer Road, Gainesville, FL 32608"
"109 Racetrack Road NE, Fort Walton Beach, FL 32547","421 Mary Esther Boulevard, Mary Esther, FL 32569"
"109 Racetrack Road NE, Fort Walton Beach, FL 32547","1246 Eglin Parkway, Shalimar, FL 32579"
"109 Racetrack Road NE, Fort Walton Beach, FL 32547","233 Racetrack Road NW, Fort Walton, FL 32547"
"109 Racetrack Road NE, Fort Walton Beach, FL 32547","418 Mary Esther Cut Off NW, Fort Walton Beach, FL 32548"
"9901 San Jose Boulevard, Jacksonville, FL 32257","8050 Philips Highway, Jacksonville, FL 32217"
"9901 San Jose Boulevard, Jacksonville, FL 32257","9760 San Jose Boulevard, Jacksonville, FL 32257"
"9901 San Jose Boulevard, Jacksonville, FL 32257","5180 Baymeadows Road, Jacksonville, FL 32217"
"9901 San Jose Boulevard, Jacksonville, FL 32257","11190 San Jose Boulevard, Jacksonville, FL 32223"
"9901 San Jose Boulevard, Jacksonville, FL 32257","8669 Baymeadows Road, Jacksonville, FL 32256"
"9901 San Jose Boulevard, Jacksonville, FL 32257","10339 San Jose Boulevard, Jacksonville, FL 32257"
"9901 San Jose Boulevard, Jacksonville, FL 32257","8355 Baymeadows Road, Jacksonville, FL 32256"
"9901 San Jose Boulevard, Jacksonville, FL 32257","5298 Sunbeam Road, Jacksonville, FL 32257"
"1902 Thomasville Road, Tallahassee, FL 32303","635 W Tennessee Street, Tallahassee, FL 32304"
"1902 Thomasville Road, Tallahassee, FL 32303","2121 W Tennessee Street, Tallahassee, FL 32304"
"1902 Thomasville Road, Tallahassee, FL 32303","1345 Thomasville Road, Tallahassee, FL 32303"
"1902 Thomasville Road, Tallahassee, FL 32303","1912 N Monroe Street, Tallahassee, FL 32303"
"1902 Thomasville Road, Tallahassee, FL 32303","437 W Gaines Street, Tallahassee, FL 32301"
"1902 Thomasville Road, Tallahassee, FL 32303","1787 W Tennessee Street, Tallahassee, FL 32304"
"1902 Thomasville Road, Tallahassee, FL 32303","640 W Tennessee Street, Tallahassee, FL 32304"
"1902 Thomasville Road, Tallahassee, FL 32303","2711 N Blairstone Road, Tallahassee, FL 32301"
"1902 Thomasville Road, Tallahassee, FL 32303","1126 Thomasville Rd, Tallahassee, FL 32303"
"1902 Thomasville Road, Tallahassee, FL 32303","302 N Monroe Street, Tallahassee, FL 32301"
"1902 Thomasville Road, Tallahassee, FL 32303","1639 Village Square Boulevard, Tallahassee, FL 32309"
"1902 Thomasville Road, Tallahassee, FL 32303","1800 W Tennessee Street, Tallahassee, FL 32304"
"1902 Thomasville Road, Tallahassee, FL 32303","800 Capital Circle SE, Tallahassee, FL 32301"
"1902 Thomasville Road, Tallahassee, FL 32303","1212 N Monroe Street, Tallahassee, FL 32303"
